position_index,position_m,position_nm,position_over_box_width,quantum_number_n,wavefunction_m_neg_half,probability_density_m_inv,box_width_times_density
10,4.9999999999999997e-12,0.0050000000000000001,0.0049999999999999992,4,2808.077400201455,7885298.6855221624,0.0078852986855221623
11,5.4999999999999996e-12,0.0054999999999999997,0.0054999999999999988,1,772.69117053782361,597051.64502711198,0.00059705164502711205
11,5.4999999999999996e-12,0.0054999999999999997,0.0054999999999999988,2,1545.1516555907349,2387493.6387747889,0.0023874936387747892
11,5.4999999999999996e-12,0.0054999999999999997,0.0054999999999999988,3,2317.1508385445354,5369188.0085676434,0.0053691880085676436
11,5.4999999999999996e-12,0.0054999999999999997,0.0054999999999999988,4,3088.4582405058959,9538574.3033487741,0.0095385743033487742
12,6.0000000000000003e-12,0.0060000000000000001,0.0060000000000000001,1,842.92784946918925,710527.35941075219,0.00071052735941075221
12,6.0000000000000003e-12,0.0060000000000000001,0.0060000000000000001,2,1685.5562106871628,2841099.7393860673,0.0028410997393860673
12,6.0000000000000003e-12,0.0060000000000000001,0.0060000000000000001,3,2527.5857018094539,6388689.4799915897,0.0063886894799915902
12,6.0000000000000003e-12,0.0060000000000000001,0.0060000000000000001,4,3368.7171537672893,11348255.262085987,0.011348255262085988
13,6.5000000000000002e-12,0.0065000000000000006,0.0064999999999999997,1,913.16244855987941,833865.6574598744,0.00083386565745987445
13,6.5000000000000002e-12,0.0065000000000000006,0.0064999999999999997,2,1825.9441300242775,3334071.9659701153,0.0033340719659701156
13,6.5000000000000002e-12,0.0065000000000000006,0.0064999999999999997,3,2737.9644360685656,7496449.2531762589,0.0074964492531762591
13,6.5000000000000002e-12,0.0065000000000000006,0.0064999999999999997,4,3648.8430758436193,13314055.792131925,0.013314055792131926
14,7.0000000000000001e-12,0.0070000000000000001,0.0069999999999999993,1,983.39479451300224,967065.32187526987,0.00096706532187526995
14,7.0000000000000001e-12,0.0070000000000000001,0.0069999999999999993,2,1966.3140280299922,3866390.8568275329,0.0038663908568275329
14,7.0000000000000001e-12,0.0070000000000000001,0.0069999999999999993,3,2948.2823695320349,8692368.9304934293,0.0086923689304934295
14,7.0000000000000001e-12,0.0070000000000000001,0.0069999999999999993,4,3928.8249478431349,15435665.470794611,0.015435665470794611
15,7.5e-12,0.0074999999999999997,0.0074999999999999997,1,1053.6247140372261,1110125.0380300265,0.0011101250380300266
15,7.5e-12,0.0074999999999999997,0.0074999999999999997,2,2106.6645193100835,4438035.3969199853,0.0044380353969199855
15,7.5e-12,0.0074999999999999997,0.0074999999999999997,3,3158.5348317601988,9976342.2834424283,0.0099763422834424284
15,7.5e-12,0.0074999999999999997,0.0074999999999999997,4,4208.6517165609357,17712749.271311309,0.01771274927131131
16,7.9999999999999998e-12,0.0080000000000000002,0.0080000000000000002,1,1123.852033847206,1263043.3939825015,0.0012630433939825015
16,7.9999999999999998e-12,0.0080000000000000002,0.0080000000000000002,2,2246.9942186618641,5048983.0186998416,0.005048983018699842
16,7.9999999999999998e-12,0.0080000000000000002,0.0080000000000000002,3,3368.7171537672893,11348255.262085987,0.011348255262085988
16,7.9999999999999998e-12,0.0080000000000000002,0.0080000000000000002,4,4488.3123349153329,20144947.615753129,0.020144947615753129
17,8.4999999999999997e-12,0.0084999999999999989,0.0084999999999999989,1,1194.0765806640113,1425818.8804902572,0.0014258188804902572
17,8.4999999999999997e-12,0.0084999999999999989,0.0084999999999999989,2,2387.3017410878547,5699209.6030011028,0.0056992096030011033
17,8.4999999999999997e-12,0.0084999999999999989,0.0084999999999999989,3,3578.8246681251089,12807986.005180797,0.012807986005180797
17,8.4999999999999997e-12,0.0084999999999999989,0.0084999999999999989,4,4767.7957623839684,22731876.431806527,0.02273187643180653
18,8.9999999999999996e-12,0.0089999999999999993,0.0089999999999999993,1,1264.2981812155531,1598449.8910249555,0.0015984498910249557
18,8.9999999999999996e-12,0.0089999999999999993,0.0089999999999999993,2,2527.5857018094534,6388689.4799915869,0.0063886894799915876
18,8.9999999999999996e-12,0.0089999999999999993,0.0089999999999999993,3,3788.8527090666857,14355404.851001963,0.014355404851001964
18,8.9999999999999996e-12,0.0089999999999999993,0.0089999999999999993,4,5047.0909654396792,25473127.213422831,0.025473127213422833
19,9.4999999999999995e-12,0.0094999999999999998,0.0094999999999999998,1,1334.5166622370132,1780934.7217882182,0.0017809347217882185
19,9.4999999999999995e-12,0.0094999999999999998,0.0094999999999999998,2,2667.8447162806033,7117395.4301863322,0.0071173954301863331
19,9.4999999999999995e-12,0.0094999999999999998,0.0094999999999999998,3,3998.7966125898743,15990374.348860253,0.015990374348860255
19,9.4999999999999995e-12,0.0094999999999999998,0.0094999999999999998,4,5326.1869179860787,28368267.085326042,0.028368267085326044
