interior_point_count,grid_spacing_m,quantum_number_n,normalization,expected_x_m_numeric,expected_x_squared_m2_numeric,p_mean_real_kg_m_s_numeric,p_mean_imaginary_kg_m_s_numeric,p_squared_kg2_m2_s2_numeric,delta_x_m_numeric,delta_p_kg_m_s_numeric,delta_x_delta_p_j_s_numeric,uncertainty_product_over_hbar_numeric,heisenberg_ratio_numeric,delta_x_m_analytical,delta_p_kg_m_s_analytical,delta_x_delta_p_j_s_analytical,uncertainty_product_over_hbar_analytical,relative_delta_x_error,relative_p_squared_error,relative_delta_p_error,relative_uncertainty_error,relative_energy_error,eigenvector_overlap
400,2.4937655860349129e-12,2,1,5.0000000000001751e-10,3.2066818532716312e-19,0,1.5737873420868067e-41,4.3903907380602441e-49,2.6583488357840781e-10,6.6260023679894986e-25,1.7614225680847427e-34,1.6702727482480078,3.3405454964960155,2.6583488367413546e-10,6.6260701499999992e-25,1.7614405875419113e-34,1.6702898352371223,3.6010190391021641e-10,2.0459084276298334e-05,1.0229594460394413e-05,1.022995455880641e-05,2.0459084327065155e-05,0.99999999999999989
400,2.4937655860349129e-12,3,0.99999999999999978,4.9999999999998545e-10,3.2770437857200381e-19,0,-1.5737873420868067e-41,9.8781265318790263e-49,2.7875505120449098e-10,9.9388764615921377e-25,2.7705120169662266e-34,2.627143993995698,5.254287987991396,2.7875505140990144e-10,9.9391052249999988e-25,2.7705757879632952e-34,2.6272044649811743,7.3688513178113807e-10,4.6032468721308229e-05,2.3016499240362922e-05,2.3017236108716664e-05,4.6032468673378138e-05,0.99999999999999967
400,2.4937655860349129e-12,4,0.99999999999999889,5.0000000000001761e-10,3.3016704614092228e-19,0,-3.1475746841736135e-41,1.7560485084983205e-48,2.8313785713130041e-10,1.3251598048908368e-24,3.7520290751332367e-34,3.5578696607955114,7.1157393215910227,2.8313785749085251e-10,1.3252140299999998e-24,3.7521826117101832e-34,3.5580152521856636,1.2698835094310942e-09,8.1834327956229627e-05,4.0918001119479472e-05,4.0919270951075479e-05,8.1834327998493955e-05,0.99999999999999978
400,2.4937655860349129e-12,5,0.99999999999999922,4.9999999999999093e-10,3.3130690934231628e-19,0,0,2.743699487386259e-48,2.851436643909967e-10,1.6564116298149621e-24,4.7231528186530146e-34,4.4787398445705362,8.9574796891410724,2.8514366494889306e-10,1.6565175374999998e-24,4.7234548169486544e-34,4.4790262151055593,1.9565448127118191e-09,0.00012786378301788516,6.3933935283019786e-05,6.3935891702828116e-05,0.00012786378297430977,0.99999999999999967
400,2.4937655860349129e-12,6,1.0000000000000009,4.9999999999999734e-10,3.31926094213431e-19,0,-1.5737873420868067e-41,3.9507049703618412e-48,2.8622734707472254e-10,1.9876380380647382e-24,5.6891636258007637e-34,5.3947616754060324,10.789523350812065,2.8622734787513615e-10,1.9878210449999998e-24,5.6896874576073163e-34,5.3952584000461066,2.7964260667595445e-09,0.00018411970387217791,9.2064089834383603e-05,9.20668860030828e-05,0.00018411970371918422,1.0000000000000004
400,2.4937655860349129e-12,7,0.99999999999999922,4.9999999999999858e-10,3.3229944308058789e-19,0,1.5737873420868067e-41,5.3769908745170367e-48,2.8687879510446449e-10,2.3188339471633229e-24,6.6522428880954358e-34,6.3080036625134639,12.616007325026928,2.8687879619157963e-10,2.3191245524999997e-24,6.6530765983953582e-34,6.3087942301030502,3.7894579702063974e-09,0.00025060070943300666,0.00012530820578979495,0.00012531199477294966,0.00025060070958041045,0.99999999999999978
400,2.4937655860349129e-12,8,1,5.0000000000000675e-10,3.3254176077133256e-19,0,6.6394153494287162e-42,7.0224696580726408e-48,2.8730081930152204e-10,2.6499942751018616e-24,7.6134552638110784e-34,7.2194753703968626,14.438950740793725,2.8730082071955099e-10,2.6504280599999997e-24,7.6147015689612733e-34,7.2206571819428769,4.9356940506014095e-09,0.00032730516762156399,0.00016366597708678308,0.00016367091197317776,0.00032730516757248552,1.0000000000000002
400,2.4937655860349129e-12,9,0.99999999999999944,5.0000000000000044e-10,3.327078928967295e-19,0,-3.1475746841736135e-41,8.8870403257513987e-48,2.8758979970911529e-10,2.9811139404174742e-24,8.573379610347129e-34,8.1297257018334044,16.259451403666809,2.8758980150230245e-10,2.9817315675e-24,8.5751558963047408e-34,8.1314100688228219,6.2352251183414338e-09,0.0004142311954108174,0.00020713705058423727,0.00020714328451785794,0.00041423119546090103,0.99999999999999944
400,2.4937655860349129e-12,10,0.99999999999999845,4.9999999999999476e-10,3.3282672614154279e-19,0,-1.5737873420868067e-41,1.0970588434976813e-47,2.8779632753311499e-10,3.3121878622712227e-24,9.532355028614168e-34,9.039076209992734,18.078152419985468,2.8779632974574512e-10,3.3130350749999996e-24,9.5347933490391938e-34,9.0413883525933851,7.6881804818796164e-09,0.00051137665889179065,0.00025572102606758498,0.00025572871228210807,0.00051137665890785429,0.99999999999999856
800,1.2484394506866419e-12,1,1.0000000000000016,4.9999999999999889e-10,2.8267274151136739e-19,0,1.5757521202916592e-41,1.0976187337816961e-49,1.8075602759346222e-10,3.3130329515139087e-25,5.9885067560189763e-35,0.56786144440930975,1.1357228888186195,1.80756027595664e-10,3.3130350749999996e-25,5.9885105944210277e-35,0.56786180838661193,1.2180915204567044e-11,1.2818973313082113e-06,6.409488709895993e-07,6.4096105216331658e-07,1.2819173162891674e-06,1.0000000000000016
