label,n,l,m,sample_index,radius_over_a,radius_over_n_squared_a,scaled_radial_wavefunction,scaled_radial_probability,cumulative_probability,containment_target,extent_over_a
1s (m=+0),1,0,0,900,4.5192748115658681,4.5192748115658681,0.02179384625305892,0.0097007490005199259,0.99395758687964741,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,901,4.5242962280231636,4.5242962280231636,0.021684684577306053,0.0096251672315576919,0.99400610861655747,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,902,4.529317644480459,4.529317644480459,0.021576069673853719,0.0095501508170021086,0.99405425224536892,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,903,4.5343390609377545,4.5343390609377545,0.021467998804012293,0.009475695770529341,0.99410202059495323,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,904,4.53936047739505,4.53936047739505,0.021360469242809779,0.0094017981313754551,0.99414941647422894,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,905,4.5443818938523455,4.5443818938523455,0.02125347827892311,0.0093284539642002236,0.9941964426722899,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,906,4.5494033103096401,4.5494033103096401,0.021147023214609793,0.0092556593589513299,0.99424310195853249,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,907,4.5544247267669355,4.5544247267669355,0.02104110136563981,0.0091834104307289346,0.99428939708278208,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,908,4.559446143224231,4.559446143224231,0.020935710061228054,0.0091117033196507682,0.99433533077541925,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,909,4.5644675596815265,4.5644675596815265,0.020830846643966908,0.0090405341907175106,0.99438090574750493,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,910,4.569488976138822,4.569488976138822,0.02072650846975926,0.0089698992336786597,0.99442612469090508,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,911,4.5745103925961175,4.5745103925961175,0.02062269290775183,0.008899794662898787,0.99447099027841468,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,912,4.5795318090534129,4.5795318090534129,0.020519397340268832,0.0088302167172242384,0.99451550516388076,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,913,4.5845532255107084,4.5845532255107084,0.020416619162745984,0.0087611616598502438,0.99455967198232531,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,914,4.5895746419680039,4.5895746419680039,0.020314355783664809,0.0086926257781884553,0.99460349335006704,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,915,4.5945960584252994,4.5945960584252994,0.020212604624487318,0.0086246053837349262,0.99464697186484263,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,916,4.5996174748825949,4.5996174748825949,0.02011136311959098,0.0085570968119385062,0.99469011010592745,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,917,4.6046388913398903,4.6046388913398903,0.020010628716204026,0.0084900964220696856,0.9947329106342554,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,918,4.6096603077971849,4.6096603077971849,0.019910398874341106,0.0084236005970898739,0.99477537599253829,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,919,4.6146817242544804,4.6146817242544804,0.019810671066739182,0.0083576057435210856,0.99481750870538432,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,920,4.6197031407117759,4.6197031407117759,0.019711442778793886,0.0082921082913161356,0.99485931127941618,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,921,4.6247245571690714,4.6247245571690714,0.019612711508496066,0.0082271046937292241,0.99490078620338851,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,922,4.6297459736263669,4.6297459736263669,0.019514474766368715,0.0081625914271869771,0.99494193594830438,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,923,4.6347673900836623,4.6347673900836623,0.019416730075404183,0.0080985649911599396,0.9949827629675313,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,924,4.6397888065409578,4.6397888065409578,0.019319474971001734,0.0080350219080345224,0.99502326969691668,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,925,4.6448102229982533,4.6448102229982533,0.019222707000905399,0.0079719587229853985,0.99506345855490275,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,926,4.6498316394555488,4.6498316394555488,0.019126423725142151,0.0079093720038483483,0.99510333194264045,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,927,4.6548530559128443,4.6548530559128443,0.019030622715960357,0.0078472583409935608,0.99514289224410302,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,928,4.6598744723701397,4.6598744723701397,0.018935301557768597,0.0077856143471994061,0.99518214182619869,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,929,4.6648958888274352,4.6648958888274352,0.018840457847074724,0.0077244366575266316,0.99522108303888301,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,930,4.6699173052847307,4.6699173052847307,0.018746089192425288,0.0076637219291930724,0.99525971821527037,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,931,4.6749387217420253,4.6749387217420253,0.018652193214345227,0.0076034668414487697,0.99529804967174518,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,932,4.6799601381993208,4.6799601381993208,0.018558767545277823,0.0075436680954515598,0.9953360797080717,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,933,4.6849815546566163,4.6849815546566163,0.018465809829525101,0.0074843224141431944,0.99537381060750418,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,934,4.6900029711139117,4.6900029711139117,0.018373317723188353,0.0074254265421258283,0.99541124463689579,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,935,4.6950243875712072,4.6950243875712072,0.018281288894109064,0.0073669772455390451,0.99544838404680691,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,936,4.7000458040285027,4.7000458040285027,0.018189721021810108,0.0073089713119373154,0.99548523107161335,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,937,4.7050672204857982,4.7050672204857982,0.018098611797437231,0.0072514055501679432,0.99552178792961321,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,938,4.7100886369430937,4.7100886369430937,0.018007958923700843,0.0071942767902494799,0.9955580568231337,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,939,4.7151100534003891,4.7151100534003891,0.017917760114818083,0.007137581883250599,0.99559403993863704,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,940,4.7201314698576846,4.7201314698576846,0.017828013096455188,0.0070813177011694543,0.99562973944682598,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,941,4.7251528863149801,4.7251528863149801,0.017738715605670152,0.0070254811368135146,0.99566515750274842,0.99950000000000006,6.0256997487544908
